Sea,Structure,Data
Indian Ocean,Indian Ocean,"<img src=""tick.png"" height = ""25""></img>"
Andaman Sea,- Andaman Sea,NA
Gulf of Moattama,- - Gulf of Moattama,NA
Arabian Sea,- Arabian Sea,NA
Bay of Bengal,- Bay of Bengal,NA
Gulf of Aden,- Gulf of Aden,NA
Gulf of Oman,- Gulf of Oman,NA
Laccadive Sea,- Laccadive Sea,NA
Mozambique Channel,- Mozambique Channel,NA
Persian Gulf,- Persian Gulf,NA
Red Sea,- Red Sea,NA
Timor Sea,- Timor Sea,NA
Atlantic Ocean,Atlantic Ocean,"<img src=""tick.png"" height = ""25""></img>"
Davis Strait,- Davis Strait,NA
Labrador Sea,- Labrador Sea,NA
Gulf of St. Lawrence,- Gulf of St. Lawrence,NA
Gulf of Maine,- Gulf of Maine,NA
Bay of Fundy,- - Bay of Fundy,NA
Massachusetts Bay,- - Massachusetts Bay,NA
Cape Cod Bay,- - Cape Cod Bay,NA
Nantucket Sound,- Nantucket Sound,NA
Buzzards Bay,- Buzzards Bay,NA
Narragansett Bay,- Narragansett Bay,NA
Long Island Sound,- Long Island Sound,NA
New York Bay,- New York Bay,NA
Chesapeake Bay,- Chesapeake Bay,NA
Gulf of Mexico,- Gulf of Mexico,NA
Bay of Campeche,- - Bay of Campeche,NA
Campeche Bank,- - Campeche Bank,NA
Caribbean Sea,- Caribbean Sea,"<img src=""tick.png"" height = ""25""></img>"
Gulf of Gonâve (Haiti),- - Gulf of Gonâve (Haiti),NA
Gulf of Honduras,- - Gulf of Honduras,NA
Golfo de los Mosquitos,- - Golfo de los Mosquitos,NA
Gulf of Venezuela,- - Gulf of Venezuela,NA
Gulf of Paria,- - Gulf of Paria,NA
Gulf of Darién,- - Gulf of Darién,NA
Argentine Sea,- Argentine Sea,NA
Norwegian Sea,Norwegian Sea,NA
North Sea,North Sea,"<img src=""tick.png"" height = ""25""></img>"
Wadden Sea,- Wadden Sea,NA
Baltic Sea,Baltic Sea,NA
Archipelago Sea,- Archipelago Sea,NA
Bothnian Sea,- Bothnian Sea,NA
Central Baltic Sea,- Central Baltic Sea,NA
Gulf of Riga,- Gulf of Riga,NA
Oresund Strait,- Oresund Strait,NA
Sea of Åland,- Sea of Åland,NA
English Channel,English Channel,"<img src=""tick.png"" height = ""25""></img>"
Irish Sea,Irish Sea,NA
Celtic Sea,Celtic Sea,NA
Bay of Biscay,Bay of Biscay,NA
Cantabrian Sea,- Cantabrian Sea,NA
Mediterranean Sea,Mediterranean Sea,"<img src=""tick.png"" height = ""25""></img>"
Adriatic Sea,- Adriatic Sea,"<img src=""tick.png"" height = ""25""></img>"
Aegean Sea,- Aegean Sea,NA
Myrtoan Sea,- - Myrtoan Sea,NA
Sea of Crete,- - Sea of Crete,NA
Thracian Sea,- - Thracian Sea,NA
Alboran Sea,- Alboran Sea,"<img src=""tick.png"" height = ""25""></img>"
Balearic Sea,- Balearic Sea,NA
Catalan Sea,- Catalan Sea,NA
Cilician Sea,- Cilician Sea,NA
Gulf of Sidra,- Gulf of Sidra,NA
Ionian Sea,- Ionian Sea,NA
Levantine Sea,- Levantine Sea,NA
Libyan Sea,- Libyan Sea,NA
Ligurian Sea,- Ligurian Sea,NA
Sea of Sardinia,- Sea of Sardinia,NA
Sea of Sicily,- Sea of Sicily,NA
"Inland Sea, Gozo","- - Inland Sea, Gozo",NA
Tyrrhenian Sea,- Tyrrhenian Sea,NA
Marmara Sea,Marmara Sea,NA
Black Sea,Black Sea,NA
Sea of Azov,Sea of Azov,NA
Gulf of Guinea,Gulf of Guinea,NA
Irminger Sea,Irminger Sea,NA
Denmark Strait,Denmark Strait,NA
Irish Sea,Irish Sea,NA
Inner Seas off the West Coast of Scotland,Inner Seas off the West Coast of Scotland,NA
Sea of the Hebrides,- Sea of the Hebrides,NA
Arctic Ocean,Arctic Ocean,NA
Chukchi Sea,- Chukchi Sea,NA
East Siberian Sea,- East Siberian Sea,NA
Laptev Sea,- Laptev Sea,NA
Kara Sea,- Kara Sea,NA
Barents Sea,- Barents Sea,NA
Pechora Sea,- - Pechora Sea,NA
White Sea,- - White Sea,NA
Queen Victoria Sea,- Queen Victoria Sea,NA
Wandel Sea,- Wandel Sea,NA
Greenland Sea,- Greenland Sea,NA
Lincoln Sea,- Lincoln Sea,NA
Baffin Bay,- Baffin Bay,NA
The Northwest Passages,- The Northwest Passages,NA
Prince Gustav Adolf Sea,- - Prince Gustav Adolf Sea,NA
Amundsen Gulf,- - Amundsen Gulf,NA
Hudson Strait,- Hudson Strait,NA
Hudson Bay,- Hudson Bay,NA
James Bay,- - James Bay,NA
Beaufort Sea,- Beaufort Sea,NA
Southern Ocean,Southern Ocean,NA
Amundsen Sea,- Amundsen Sea,NA
Bass Strait,- Bass Strait,NA
Bellingshausen Sea,- Bellingshausen Sea,NA
Cooperation Sea,- Cooperation Sea,NA
Cosmonauts Sea,- Cosmonauts Sea,NA
Davis Sea,- Davis Sea,NA
D'Urville Sea,- D'Urville Sea,NA
Drake Passage,- Drake Passage,NA
Great Australian Bight,- Great Australian Bight,NA
Gulf St Vincent,- Gulf St Vincent,NA
King Haakon VII Sea,- King Haakon VII Sea,NA
Lazarev Sea,- Lazarev Sea,NA
Mawson Sea,- Mawson Sea,NA
Riiser-Larsen Sea,- Riiser-Larsen Sea,NA
Ross Sea,- Ross Sea,NA
Scotia Sea,- Scotia Sea,NA
Somov Sea,- Somov Sea,NA
Spencer Gulf,- Spencer Gulf,NA
Weddell Sea,- Weddell Sea,NA
Pacific Ocean,Pacific Ocean,"<img src=""tick.png"" height = ""25""></img>"
Bering Sea,- Bering Sea,NA
Chilean Sea,- Chilean Sea,NA
Sea of Chiloé,- Sea of Chiloé,NA
Gulf of Alaska,- Gulf of Alaska,NA
Gulf of California,- Gulf of California,NA
Mar de Grau,- Mar de Grau,NA
Salish Sea,- Salish Sea,NA
Arafura Sea,- Arafura Sea,NA
Bali Sea,- Bali Sea,NA
Banda Sea,- Banda Sea,NA
Bismarck Sea,- Bismarck Sea,NA
Bohai Sea,- Bohai Sea,NA
Camotes Sea,- Camotes Sea,NA
Celebes Sea,- Celebes Sea,NA
Ceram Sea,- Ceram Sea,NA
Coral Sea,- Coral Sea,NA
East China Sea,- East China Sea,NA
Flores Sea,- Flores Sea,NA
Gulf of Carpentaria,- Gulf of Carpentaria,NA
Gulf of Thailand,- Gulf of Thailand,NA
Halmahera Sea,- Halmahera Sea,NA
Java Sea,- Java Sea,NA
Koro Sea,- Koro Sea,NA
Molucca Sea,- Molucca Sea,NA
Philippine Sea,- Philippine Sea,NA
Savu Sea,- Savu Sea,NA
Sea of Japan,- Sea of Japan,NA
Sea of Okhotsk,- Sea of Okhotsk,NA
Seto Inland Sea,- Seto Inland Sea,NA
Sibuyan Sea,- Sibuyan Sea,NA
Solomon Sea,- Solomon Sea,NA
South China Sea,- South China Sea,NA
Sulu Sea,- Sulu Sea,NA
Tasman Sea,- Tasman Sea,NA
Visayan Sea,- Visayan Sea,NA
Yellow Sea,- Yellow Sea,NA
